household_id,state_code,district_code,age,years_formal_education,principal_status_code,occupation_code,industry_code,cws_earnings_salaried,cws_earnings_self_employed,household_size,monthly_consumer_expenditure
PLFS-NEW-2026-001,09,140,35,12,31,2141,6201,45000,0,4,32000
PLFS-NEW-2026-002,10,210,12,5,11,6111,0111,15000,0,5,18000
PLFS-NEW-2026-003,08,110,42,16,31,2142,6201,85000,0,3,950000
PLFS-NEW-2026-004,33,310,28,10,31,9999,999,12000,0,4,14000
PLFS-NEW-2026-005,09,140,68,8,51,6111,0111,0,25000,6,22000
PLFS-NEW-2026-006,10,210,8,2,11,6111,0111,10000,0,4,12000
PLFS-NEW-2026-007,09,140,50,14,31,1111,8411,120000,0,4,45000
PLFS-NEW-2026-008,08,110,31,10,31,2211,8610,38000,0,3,29000
PLFS-NEW-2026-009,10,210,14,7,31,4110,4711,20000,0,5,110000
PLFS-NEW-2026-010,33,310,135,0,91,N/A,N/A,0,0,2,8000
